datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2019 5:00,1/1/2019 0:00,RFC,WEST,DUQ,DUQ,1213.596,TRUE
1/1/2019 6:00,1/1/2019 1:00,RFC,WEST,DUQ,DUQ,1171.689,TRUE
1/1/2019 7:00,1/1/2019 2:00,RFC,WEST,DUQ,DUQ,1125.902,TRUE
1/1/2019 8:00,1/1/2019 3:00,RFC,WEST,DUQ,DUQ,1114.111,TRUE
1/1/2019 9:00,1/1/2019 4:00,RFC,WEST,DUQ,DUQ,1110.239,TRUE
1/1/2019 10:00,1/1/2019 5:00,RFC,WEST,DUQ,DUQ,1135.038,TRUE
1/1/2019 11:00,1/1/2019 6:00,RFC,WEST,DUQ,DUQ,1169.644,TRUE
1/1/2019 12:00,1/1/2019 7:00,RFC,WEST,DUQ,DUQ,1199.967,TRUE
1/1/2019 13:00,1/1/2019 8:00,RFC,WEST,DUQ,DUQ,1227.415,TRUE
1/1/2019 14:00,1/1/2019 9:00,RFC,WEST,DUQ,DUQ,1272.299,TRUE
1/1/2019 15:00,1/1/2019 10:00,RFC,WEST,DUQ,DUQ,1332.132,TRUE
1/1/2019 16:00,1/1/2019 11:00,RFC,WEST,DUQ,DUQ,1366.128,TRUE
1/1/2019 17:00,1/1/2019 12:00,RFC,WEST,DUQ,DUQ,1372.636,TRUE
1/1/2019 18:00,1/1/2019 13:00,RFC,WEST,DUQ,DUQ,1392.866,TRUE
1/1/2019 19:00,1/1/2019 14:00,RFC,WEST,DUQ,DUQ,1393.626,TRUE
1/1/2019 20:00,1/1/2019 15:00,RFC,WEST,DUQ,DUQ,1419.229,TRUE
1/1/2019 21:00,1/1/2019 16:00,RFC,WEST,DUQ,DUQ,1452.449,TRUE
1/1/2019 22:00,1/1/2019 17:00,RFC,WEST,DUQ,DUQ,1519.203,TRUE
1/1/2019 23:00,1/1/2019 18:00,RFC,WEST,DUQ,DUQ,1512.913,TRUE
1/2/2019 0:00,1/1/2019 19:00,RFC,WEST,DUQ,DUQ,1498.281,TRUE
1/2/2019 1:00,1/1/2019 20:00,RFC,WEST,DUQ,DUQ,1471.997,TRUE
1/2/2019 2:00,1/1/2019 21:00,RFC,WEST,DUQ,DUQ,1442.265,TRUE
1/2/2019 3:00,1/1/2019 22:00,RFC,WEST,DUQ,DUQ,1369.42,TRUE
1/2/2019 4:00,1/1/2019 23:00,RFC,WEST,DUQ,DUQ,1291.401,TRUE
1/2/2019 5:00,1/2/2019 0:00,RFC,WEST,DUQ,DUQ,1238.428,TRUE
