Year,Month,Day,Hour,Minute,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,BC,BL,BR,DZ,FG,FZ,HZ,MI,PL,RA,SN,SQ,TS,BKN,CLR,FEW,OVC,SCT,VV,Load
2018,1,1,0,0,30.5,-0.5,7,0.001,70.5,30.61,29.2,9,5,240,0,9,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,1704.451
2018,1,1,1,0,30.39,-3,1,0,83,30.5,29.11,9.97,0,280,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1662.627
2018,1,1,2,0,30.39,-1,3,0,83,30.5,29.09,10,2,280,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1632.57
2018,1,1,3,0,30.4,-2,2,0,83,30.51,29.1,10,1,280,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1618.904
2018,1,1,4,0,30.41,-5,-1,0,82,30.52,29.13,9.97,-2,280,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1622.823
2018,1,1,5,0,30.41,-3,1,0,83,30.52,29.11,10,0,270,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1649.184
2018,1,1,6,0,30.4,-4,-1,0,87,30.51,29.1,10,-1,300,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1674.807
2018,1,1,7,0,30.4125,-3,2,0,80,30.52,29.13,9.97,1,260,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1681.59
2018,1,1,8,0,30.42,-2,2,0,83,30.53,29.12,10,1,260,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1697.696
2018,1,1,9,0,30.43,-1,2,0,88,30.54,29.13,10,1,250,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1731.335
2018,1,1,10,0,30.4425,2,6,0,83,30.55,29.16,9.97,5,270,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1743.495
2018,1,1,11,0,30.45,3,8,0,80,30.56,29.15,10,7,280,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1763.841
2018,1,1,12,0,30.44,4,10,0.001,76,30.54,29.14,10,9,270,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1783.581
2018,1,1,13,0,30.42,3.333333333,11,0.001,71,30.53166667,29.13666667,9.646666667,9,253.3333333,0,9.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,1802.669
2018,1,1,14,0,30.4,2,11,0.001,67,30.51,29.1,10,9,280,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1810.614
2018,1,1,15,0,30.41,3,10,0.001,73,30.52,29.11,3,8,300,28,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1828.408
2018,1,1,16,0,30.43333333,0.666666667,9,0.001,68.33333333,30.545,29.14333333,8.233333333,7.333333333,293.3333333,0,18,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0.333333333,0,0,1857.533
2018,1,1,17,0,30.45,0,9,0.001,66,30.56,29.15,9,7,270,21,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1959.664
2018,1,1,18,0,30.46,1,9,0.001,70,30.57,29.16,6,7,300,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1967.881
2018,1,1,19,0,30.4825,-2,8,0.00075,63,30.6,29.195,9.97,6,280,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1962.017
2018,1,1,20,0,30.49,-3,7,0,63,30.6,29.19,10,5,260,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1939.635
2018,1,1,21,0,30.5,-3,6,0,66,30.61,29.2,10,4,250,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1891.127
2018,1,1,22,0,30.5025,-2,6,0,69,30.61,29.215,9.97,5,250,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1819.57
2018,1,1,23,0,30.51,0,7,0,73,30.61,29.21,10,6,250,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1721.061
2018,1,2,0,0,30.295,-1,5,0,76,30.395,29.005,10,4,180,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1663.91
2018,1,2,1,0,30.5025,0,7,0.001,73,30.61,29.215,8.85,6,240,0,9,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,1628.098
2018,1,2,2,0,30.51,0,7,0.001,73,30.61,29.21,9,6,260,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1601.851
2018,1,2,3,0,30.51,1,7,0.001,76,30.62,29.21,8,6,240,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1604.414
2018,1,2,4,0,30.51,1,7,0.001,76,30.62,29.22,8.9,6,253.3333333,0,6,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,1631.665
2018,1,2,5,0,30.51,1,7,0.001,76,30.61,29.21,9,6,250,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1701.61
2018,1,2,6,0,30.51,1,7,0.001,76,30.62,29.21,9,6,240,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1804.137
2018,1,2,7,0,30.52,0,7,0.001,73,30.62,29.235,8.85,6,240,0,8,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,1897.833
2018,1,2,8,0,30.52,1,6,0.001,79,30.63,29.22,7,5,220,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1937.144
2018,1,2,9,0,30.53,1,6,0.001,79,30.63,29.23,3.5,5,235,8,10.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1978.357
2018,1,2,10,0,30.5225,1,7,0.001,76,30.63,29.235,3.865,6,230,0,13,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,1985.21
2018,1,2,11,0,30.53,0,8,0.001,69,30.63,29.23,8,6,260,23,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2008.807
2018,1,2,12,0,30.5,0,8,0.001,69,30.6,29.2,9,6,240,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1997.014
2018,1,2,13,0,30.46166667,1,9.666666667,0.000166667,68,30.56666667,29.18,9.98,7.666666667,223.3333333,7.333333333,9.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,1954.061
2018,1,2,14,0,30.43,1,12,0,61,30.53,29.13,10,10,370,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1931.433
2018,1,2,15,0,30.41,0,13,0,56,30.51,29.11,10,10,230,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1916.679
2018,1,2,16,0,30.385,0,14,0,53,30.49,29.11,9.97,11,230,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1948.703
2018,1,2,17,0,30.37,-1,13,0,54,30.47,29.08,10,10,230,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2062.026
2018,1,2,18,0,30.37,0,12,0,58,30.47,29.08,10,9,220,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2095.842
2018,1,2,19,0,30.365,0,11,0,61,30.47,29.095,9.97,9,210,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2070.441
2018,1,2,20,0,30.35,0,9,0,66,30.46,29.05,10,7,200,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2047.545
2018,1,2,21,0,30.33,0,9,0,66,30.44,29.04,10,7,220,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1987.689
2018,1,2,22,0,30.3175,0,8,0,69,30.42,29.045,9.97,6,220,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1889.22
2018,1,2,23,0,30.31,-1,8,0,66,30.41,29.02,10,6,200,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1781.395
2018,1,3,0,0,29.9425,9,17.5,0,69.5,30.0225,28.6625,10,15.5,300,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1709.958
2018,1,3,1,0,30.275,-1,5,0,76,30.38,29.005,9.97,4,170,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1681.464
2018,1,3,2,0,30.26,-1,4,0,80,30.37,28.97,10,3,170,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1683.637
2018,1,3,3,0,30.25,-2,3,0,79,30.36,28.96,10,2,180,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1685.635
2018,1,3,4,0,30.2175,-2,2,0,83,30.32,28.945,9.97,1,160,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1716.162
2018,1,3,5,0,30.21,-2,3,0,79,30.31,28.92,10,2,180,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1782.252
2018,1,3,6,0,30.19,-3,2,0,80,30.29,28.9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1894.123
2018,1,3,7,0,30.1775,-4,1,0,79,30.29,28.905,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1987.442
2018,1,3,8,0,30.17,-4,0,0,83,30.28,28.88,10,-1,150,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009.204
2018,1,3,9,0,30.17,-3,1,0,83,30.28,28.88,10,0,150,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1992.163
2018,1,3,10,0,30.165,0,8,0,69,30.27,28.9,9.97,6,160,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1966.053
2018,1,3,11,0,30.15,1,14,0,56,30.24,28.86,10,11,190,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1941.618
2018,1,3,12,0,30.11,0,18,0,45,30.21,28.82,10,14,220,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1934.136
2018,1,3,13,0,30.0475,0,19,0,43,30.15,28.79,9.97,15,190,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1892.538
2018,1,3,14,0,30.01,-2,21,0,36,30.1,28.73,10,16,210,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1856.67
2018,1,3,15,0,29.98,-3,23,0,32,30.07,28.7,10,17,200,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1844.021
2018,1,3,16,0,29.99,-2,24,0,32,30.08,28.725,9.97,18,180,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1873.518
2018,1,3,17,0,29.99,-2,23,0,33,30.08,28.71,10,17,190,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1968.668
2018,1,3,18,0,30,-3,22,0,33,30.09,28.72,10,16,250,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000.439
2018,1,3,19,0,29.9775,-3,20,0,36,30.08,28.715,9.97,15,270,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1999.05
2018,1,3,20,0,29.97,-1,20,0,40,30.07,28.69,10,15,240,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1968.493
2018,1,3,21,0,29.97,1,19,0,45,30.07,28.69,10,15,240,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1904.381
2018,1,3,22,0,29.9675,2,18,0,49,30.06,28.705,9.97,14,260,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1805.236
2018,1,3,23,0,29.96,9,18,0,68,30.04,28.68,10,16,280,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1722.195
2018,1,4,0,0,29.99,-4,4.5,0,66,30.0825,28.71,10,2.5,280,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1634.498
2018,1,4,1,0,29.95,10,17,0.00025,74,30.03,28.685,9.97,15,290,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1603.861
2018,1,4,2,0,29.94,10,17,0.001,74,30.015,28.66,8,15,300,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1587.235
2018,1,4,3,0,29.92,11,16,0.001,80,30,28.64,4,15,310,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1580.313
2018,1,4,4,0,29.90666667,10.33333333,15.33333333,0.001,80,29.98333333,28.64,8.233333333,14.33333333,306.6666667,0,7.666666667,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,1613.446
2018,1,4,5,0,29.89,10,15,0.001,80,29.97,28.61,7,14,290,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1680.278
2018,1,4,6,0,29.89,11,15,0.001,84,29.97,28.61,3,14,290,0,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1791.489
2018,1,4,7,0,29.89,11.66666667,15,0.001,86.66666667,29.97,28.62,1.996666667,14,290,0,10.33333333,0,0,0.666666667,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,1884.295
2018,1,4,8,0,29.89,11,15,0.001,84,29.97,28.61,3,14,315,0,14.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1902.915
2018,1,4,9,0,29.88,9,15,0.001,77,29.96,28.6,7,13,320,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1919.831
2018,1,4,10,0,29.885,7,14,0.00025,73,29.97,28.62,6.92,12,310,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1944.918
2018,1,4,11,0,29.9,4,13,0.001,67,29.98,28.62,7,11,320,31,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1957.001
2018,1,4,12,0,29.9,4,14,0.001,64,29.98,28.62,9.5,11.5,310,24.5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1965.512
2018,1,4,13,0,29.8875,5,14,0.001,67,29.97,28.625,4.985,12,320,0,15,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,1956.856
2018,1,4,14,0,29.88,7,14,0.001,74,29.9625,28.6,3,12.5,305,0,15.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1960.595
2018,1,4,15,0,29.89,6,13,0.001,74,29.98,28.61,3,11,310,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1969.915
2018,1,4,16,0,29.905,6.333333333,12,0.001,78,29.98833333,28.63333333,2.66,11,300,11,22.66666667,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0.333333333,0,0,0.333333333,0,0,1988.829
2018,1,4,17,0,29.93,1,10,0.001,67,30.01,28.65,7,8,310,39,23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2093.749
2018,1,4,18,0,29.935,-0.5,9,0.001,65,30.025,28.655,10,7,295,14.5,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2133.856
